workloadFilename,,entry_size,per_kv_size,per_range_delete_size,,insert_count,range_delete_count,selectivity,insertBeforeRangeDelete,numberOfPointInTheBeginning,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#exist,#non-exist,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,perlevel_rdf_disk_access_count,perlevel_rdf_disk_access_without_last_level_count,,skyline_rdf_disk_access_count,,split_perlevel_rdf_disk_access_count,split_perlevel_rdf_disk_access_without_last_level_count,,,
workload1.txt,,32,32,8,,14,1,0.1,0.5,7,11,,8,8,8,,,,,,14,,9,9,8,,,,,,3,,1,1,0,,,,,,0,10000,,6485,6485,5559,,,,,,1,0,,1,,2,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
workloadFilename,,entry_size,per_kv_size,per_range_delete_size,,insert_count,range_delete_count,selectivity,insertBeforeRangeDelete,numberOfPointInTheBeginning,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#exist,#non-exist,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,perlevel_rdf_disk_access_count,perlevel_rdf_disk_access_without_last_level_count,,skyline_rdf_disk_access_count,,split_perlevel_rdf_disk_access_count,split_perlevel_rdf_disk_access_without_last_level_count
workload10.txt,,32,32,8,,100000,9,0.1,0.9,90000,,,9947,,29298,29298,29298,,,,,,99947,,215649,332072,140064,,,,,,90000,,186351,302774,110766,,,,,,2,9998,,21554,32803,13788,,,,,,407,407,,4,,4079,4079
workloadFilename,,entry_size,per_kv_size,per_range_delete_size,,insert_count,range_delete_count,selectivity,insertBeforeRangeDelete,numberOfPointInTheBeginning,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#exist,#non-exist,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,perlevel_rdf_disk_access_count,perlevel_rdf_disk_access_without_last_level_count,,skyline_rdf_disk_access_count,,split_perlevel_rdf_disk_access_count,split_perlevel_rdf_disk_access_without_last_level_count
workload7.txt,,32,32,8,,100000,90,0.01,0.9,90000,,,9943,,32440,32440,32440,,,,,,99951,,196565,329929,119744,,,,,,90008,,164125,297489,87304,,,,,,1,9999,,19929,32663,12125,,,,,,191,191,,15,,3190,3190
workloadFilename,,entry_size,per_kv_size,per_range_delete_size,,insert_count,range_delete_count,selectivity,insertBeforeRangeDelete,numberOfPointInTheBeginning,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#exist,#non-exist,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,perlevel_rdf_disk_access_count,perlevel_rdf_disk_access_without_last_level_count,,skyline_rdf_disk_access_count,,split_perlevel_rdf_disk_access_count,split_perlevel_rdf_disk_access_without_last_level_count
workload9.txt,,32,32,8,,100000,5,0.1,0.9,90000,,,49946,,162963,162963,162963,,,,,,99948,,289987,335471,248028,,,,,,50002,,127024,172508,85065,,,,,,6,9994,,28778,33066,24299,,,,,,363,363,,4,,3108,3108
workloadFilename,,entry_size,per_kv_size,per_range_delete_size,,insert_count,range_delete_count,selectivity,insertBeforeRangeDelete,numberOfPointInTheBeginning,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#exist,#non-exist,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,perlevel_rdf_disk_access_count,perlevel_rdf_disk_access_without_last_level_count,,skyline_rdf_disk_access_count,,split_perlevel_rdf_disk_access_count,split_perlevel_rdf_disk_access_without_last_level_count
workload4.txt,,32,32,8,,100000,900,0.001,0.9,90000,,,9740,,31464,31464,31464,,,,,,99946,,209448,341541,134493,,,,,,90206,,177984,310077,103029,,,,,,0,10000,,21079,33658,13418,,,,,,471,471,,224,,3882,3882
workloadFilename,,entry_size,per_kv_size,per_range_delete_size,,insert_count,range_delete_count,selectivity,insertBeforeRangeDelete,numberOfPointInTheBeginning,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#exist,#non-exist,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,perlevel_rdf_disk_access_count,perlevel_rdf_disk_access_without_last_level_count,,skyline_rdf_disk_access_count,,split_perlevel_rdf_disk_access_count,split_perlevel_rdf_disk_access_without_last_level_count
workload6.txt,,32,32,8,,100000,50,0.01,0.9,90000,,,49909,,170565,170565,170565,,,,,,99946,,289988,342922,246998,,,,,,50037,,119423,172357,76433,,,,,,2,9998,,28987,34095,24447,,,,,,250,250,,39,,2448,2448
workloadFilename,,entry_size,per_kv_size,per_range_delete_size,,insert_count,range_delete_count,selectivity,insertBeforeRangeDelete,numberOfPointInTheBeginning,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#exist,#non-exist,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,perlevel_rdf_disk_access_count,perlevel_rdf_disk_access_without_last_level_count,,skyline_rdf_disk_access_count,,split_perlevel_rdf_disk_access_count,split_perlevel_rdf_disk_access_without_last_level_count
workload8.txt,,32,32,8,,100000,1,0.1,0.9,90000,,,89948,,310317,310317,310317,,,,,,99948,,334980,341790,326461,,,,,,10000,,24663,31473,16144,,,,,,10,9990,,33098,33725,32187,,,,,,130,130,,1,,1073,1073
workloadFilename,,entry_size,per_kv_size,per_range_delete_size,,insert_count,range_delete_count,selectivity,insertBeforeRangeDelete,numberOfPointInTheBeginning,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#exist,#non-exist,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,perlevel_rdf_disk_access_count,perlevel_rdf_disk_access_without_last_level_count,,skyline_rdf_disk_access_count,,split_perlevel_rdf_disk_access_count,split_perlevel_rdf_disk_access_without_last_level_count
workload3.txt,,32,32,8,,100000,500,0.001,0.9,90000,,,49622,,163772,163772,163772,,,,,,99950,,282224,333625,240119,,,,,,50328,,118452,169853,76347,,,,,,5,9995,,28163,33023,23840,,,,,,439,437,,330,,2524,2517
workloadFilename,,entry_size,per_kv_size,per_range_delete_size,,insert_count,range_delete_count,selectivity,insertBeforeRangeDelete,numberOfPointInTheBeginning,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#exist,#non-exist,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,perlevel_rdf_disk_access_count,perlevel_rdf_disk_access_without_last_level_count,,skyline_rdf_disk_access_count,,split_perlevel_rdf_disk_access_count,split_perlevel_rdf_disk_access_without_last_level_count
workload5.txt,,32,32,8,,100000,10,0.01,0.9,90000,,,89936,,306694,306694,306694,,,,,,99945,,331973,341072,323601,,,,,,10009,,25279,34378,16907,,,,,,10,9990,,32872,33760,31951,,,,,,65,65,,10,,633,633
workloadFilename,,entry_size,per_kv_size,per_range_delete_size,,insert_count,range_delete_count,selectivity,insertBeforeRangeDelete,numberOfPointInTheBeginning,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#exist,#non-exist,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,perlevel_rdf_disk_access_count,perlevel_rdf_disk_access_without_last_level_count,,skyline_rdf_disk_access_count,,split_perlevel_rdf_disk_access_count,split_perlevel_rdf_disk_access_without_last_level_count
workload2.txt,,32,32,8,,100000,100,0.001,0.9,90000,,,89854,,310587,310587,310587,,,,,,99949,,335844,345533,327622,,,,,,10095,,25257,34946,17035,,,,,,11,9989,,33426,34298,32564,,,,,,107,105,,96,,613,604



workloadFilename,,entry_size,per_kv_size,per_range_delete_size,,insert_count,range_delete_count,selectivity,insertBeforeRangeDelete,numberOfPointInTheBeginning,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#exist,#non-exist,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,perlevel_rdf_disk_access_count,perlevel_rdf_disk_access_without_last_level_count,,skyline_rdf_disk_access_count,,split_perlevel_rdf_disk_access_count,split_perlevel_rdf_disk_access_without_last_level_count,
workload11.txt,,32,32,8,,100000,90,0.01,0.6,60000,,,9947,,28474,28474,28474,,,,,,99943,,239820,323160,164779,,,,,,89996,,211346,294686,136305,,,,,,1,9999,,24053,32132,16005,,,,,,1028,352,,24,,9809,4499,
workloadFilename,,entry_size,per_kv_size,per_range_delete_size,,insert_count,range_delete_count,selectivity,insertBeforeRangeDelete,numberOfPointInTheBeginning,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#exist,#non-exist,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,perlevel_rdf_disk_access_count,perlevel_rdf_disk_access_without_last_level_count,,skyline_rdf_disk_access_count,,split_perlevel_rdf_disk_access_count,split_perlevel_rdf_disk_access_without_last_level_count,
workload13.txt,,32,32,8,,100000,90,0.01,0.8,80000,,,9932,,28918,28918,28918,,,,,,99947,,241331,339076,164458,,,,,,90015,,212413,310158,135540,,,,,,3,9997,,24339,33688,16287,,,,,,653,280,,32,,5225,4090,
workloadFilename,,entry_size,per_kv_size,per_range_delete_size,,insert_count,range_delete_count,selectivity,insertBeforeRangeDelete,numberOfPointInTheBeginning,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#exist,#non-exist,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,perlevel_rdf_disk_access_count,perlevel_rdf_disk_access_without_last_level_count,,skyline_rdf_disk_access_count,,split_perlevel_rdf_disk_access_count,split_perlevel_rdf_disk_access_without_last_level_count,
workload10.txt,,32,32,8,,100000,9,0.1,0.9,90000,,,9947,,29298,29298,29298,,,,,,99947,,215649,332072,140064,,,,,,90000,,186351,302774,110766,,,,,,2,9998,,21554,32803,13788,,,,,,407,407,,4,,3251,3251,
workloadFilename,,entry_size,per_kv_size,per_range_delete_size,,insert_count,range_delete_count,selectivity,insertBeforeRangeDelete,numberOfPointInTheBeginning,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#exist,#non-exist,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,perlevel_rdf_disk_access_count,perlevel_rdf_disk_access_without_last_level_count,,skyline_rdf_disk_access_count,,split_perlevel_rdf_disk_access_count,split_perlevel_rdf_disk_access_without_last_level_count,
workload12.txt,,32,32,8,,100000,90,0.01,0.7,70000,,,9937,,28064,28064,28064,,,,,,99943,,244046,331408,168281,,,,,,90006,,215982,303344,140217,,,,,,1,9999,,24467,32892,16467,,,,,,999,365,,28,,7936,4378,
workloadFilename,,entry_size,per_kv_size,per_range_delete_size,,insert_count,range_delete_count,selectivity,insertBeforeRangeDelete,numberOfPointInTheBeginning,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#exist,#non-exist,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,perlevel_rdf_disk_access_count,perlevel_rdf_disk_access_without_last_level_count,,skyline_rdf_disk_access_count,,split_perlevel_rdf_disk_access_count,split_perlevel_rdf_disk_access_without_last_level_count,
workload7.txt,,32,32,8,,100000,90,0.01,0.9,90000,,,9943,,32440,32440,32440,,,,,,99951,,196565,329929,119744,,,,,,90008,,164125,297489,87304,,,,,,1,9999,,19929,32663,12125,,,,,,191,191,,15,,2130,2130,
workloadFilename,,entry_size,per_kv_size,per_range_delete_size,,insert_count,range_delete_count,selectivity,insertBeforeRangeDelete,numberOfPointInTheBeginning,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#exist,#non-exist,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,perlevel_rdf_disk_access_count,perlevel_rdf_disk_access_without_last_level_count,,skyline_rdf_disk_access_count,,split_perlevel_rdf_disk_access_count,split_perlevel_rdf_disk_access_without_last_level_count,
workload6.txt,,32,32,8,,100000,50,0.01,0.9,90000,,,49909,,170565,170565,170565,,,,,,99946,,289988,342922,246998,,,,,,50037,,119423,172357,76433,,,,,,2,9998,,28987,34095,24447,,,,,,250,250,,39,,2086,2086,
workloadFilename,,entry_size,per_kv_size,per_range_delete_size,,insert_count,range_delete_count,selectivity,insertBeforeRangeDelete,numberOfPointInTheBeginning,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#exist,#non-exist,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,perlevel_rdf_disk_access_count,perlevel_rdf_disk_access_without_last_level_count,,skyline_rdf_disk_access_count,,split_perlevel_rdf_disk_access_count,split_perlevel_rdf_disk_access_without_last_level_count,
workload4.txt,,32,32,8,,100000,900,0.001,0.9,90000,,,9740,,31464,31464,31464,,,,,,99946,,209448,341541,134493,,,,,,90206,,177984,310077,103029,,,,,,0,10000,,21079,33658,13418,,,,,,471,471,,224,,2774,2774,
workloadFilename,,entry_size,per_kv_size,per_range_delete_size,,insert_count,range_delete_count,selectivity,insertBeforeRangeDelete,numberOfPointInTheBeginning,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#exist,#non-exist,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,perlevel_rdf_disk_access_count,perlevel_rdf_disk_access_without_last_level_count,,skyline_rdf_disk_access_count,,split_perlevel_rdf_disk_access_count,split_perlevel_rdf_disk_access_without_last_level_count,
workload9.txt,,32,32,8,,100000,5,0.1,0.9,90000,,,49946,,162963,162963,162963,,,,,,99948,,289987,335471,248028,,,,,,50002,,127024,172508,85065,,,,,,6,9994,,28778,33066,24299,,,,,,363,363,,4,,2636,2636,
workloadFilename,,entry_size,per_kv_size,per_range_delete_size,,insert_count,range_delete_count,selectivity,insertBeforeRangeDelete,numberOfPointInTheBeginning,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#exist,#non-exist,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,perlevel_rdf_disk_access_count,perlevel_rdf_disk_access_without_last_level_count,,skyline_rdf_disk_access_count,,split_perlevel_rdf_disk_access_count,split_perlevel_rdf_disk_access_without_last_level_count,
workload14.txt,,32,32,8,,100000,90,0.01,0.99,99000,,,9926,,33434,33434,33434,,,,,,99952,,145282,342428,67281,,,,,,90026,,111848,308994,33847,,,,,,1,9999,,14584,34052,6750,,,,,,52,52,,27,,301,301,
workloadFilename,,entry_size,per_kv_size,per_range_delete_size,,insert_count,range_delete_count,selectivity,insertBeforeRangeDelete,numberOfPointInTheBeginning,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#PQ,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,#exist,#non-exist,,#Disk Access_0,#Disk Access_1,#Disk Access_2,,,,,,perlevel_rdf_disk_access_count,perlevel_rdf_disk_access_without_last_level_count,,skyline_rdf_disk_access_count,,split_perlevel_rdf_disk_access_count,split_perlevel_rdf_disk_access_without_last_level_count,
workload3.txt,,32,32,8,,100000,500,0.001,0.9,90000,,,49622,,163772,163772,163772,,,,,,99950,,282224,333625,240119,,,,,,50328,,118452,169853,76347,,,,,,5,9995,,28163,33023,23840,,,,,,439,437,,330,,2033,2031,
